Date,RTD1,RTD1V,RTD2,RTD2V,IG,IGV,TC2,TC2V
2025/03/19 16:24:44,-223.5,0.386,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 16:24:55,-225.3,0.372,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 16:25:06,-227.7,0.353,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 16:25:17,-224.7,0.376,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 16:25:28,-227.8,0.353,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 16:25:39,-227.7,0.353,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 16:25:50,-226.6,0.362,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 16:26:01,-226.8,0.360,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 16:26:12,-228.9,0.344,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 16:26:23,-228.3,0.349,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 16:26:34,-228.6,0.346,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 16:26:45,-228.9,0.344,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 16:26:56,-226.8,0.360,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 16:27:08,-229.2,0.341,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 16:27:19,-225.6,0.369,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 16:27:30,-230.6,0.331,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 16:27:41,-226.6,0.362,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 16:27:52,-225.0,0.374,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 16:28:03,-224.9,0.375,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 16:28:14,-228.7,0.346,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 16:28:25,-224.9,0.375,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 16:28:36,-223.6,0.385,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 16:28:47,-229.1,0.342,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 16:28:58,-224.6,0.377,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 16:29:09,-225.6,0.369,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 16:29:20,-229.3,0.341,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 16:29:31,-225.2,0.373,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 16:29:42,-224.2,0.381,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 16:29:53,-221.3,0.403,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 16:30:04,-228.4,0.347,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 16:30:15,-225.9,0.367,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 16:30:26,-228.7,0.345,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 16:30:37,-226.0,0.366,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 16:30:48,-225.9,0.367,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 16:30:59,-223.7,0.384,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 16:31:10,-222.5,0.393,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 16:31:21,-225.6,0.369,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 16:31:32,-228.4,0.348,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 16:31:45,-225.7,0.369,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 16:31:56,-228.2,0.349,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 16:32:08,-228.5,0.347,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 16:32:19,-228.8,0.345,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 16:32:30,-225.7,0.369,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 16:32:42,-227.9,0.351,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 16:32:54,-223.6,0.385,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 16:33:06,-223.0,0.389,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 16:33:17,-228.8,0.345,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
