Date,RTD1,RTD1V,RTD2,RTD2V,IG,IGV,TC2,TC2V
2025/03/19 14:42:08,-229.7,0.338,210.3,3.325,4.96E-11,0.205,7.94E+05,9.900
2025/03/19 14:42:19,-230.2,0.334,210.3,3.325,4.96E-11,0.205,7.94E+05,9.900
2025/03/19 14:42:30,-225.4,0.371,210.3,3.325,4.96E-11,0.205,7.94E+05,9.900
2025/03/19 14:42:41,-221.6,0.400,210.3,3.325,4.96E-11,0.205,7.94E+05,9.900
2025/03/19 14:42:52,-136.8,1.059,72.2,2.285,7.48E-10,0.621,6.36E+02,6.803
2025/03/19 14:43:04,-143.2,1.010,72.2,2.285,7.48E-10,0.621,6.36E+02,6.803
2025/03/19 14:43:15,-226.7,0.361,210.3,3.325,4.96E-11,0.205,7.94E+05,9.900
2025/03/19 14:43:26,-224.0,0.382,210.3,3.325,4.96E-11,0.205,7.94E+05,9.900
2025/03/19 14:43:37,-221.8,0.399,210.3,3.325,4.96E-11,0.205,7.94E+05,9.900
2025/03/19 14:43:48,-221.8,0.399,210.3,3.325,4.96E-11,0.205,7.94E+05,9.900
2025/03/19 14:43:59,-227.2,0.357,210.3,3.325,4.96E-11,0.205,7.94E+05,9.900
2025/03/19 14:44:10,-227.2,0.357,210.3,3.325,4.96E-11,0.205,7.94E+05,9.900
