Date,RTD1,RTD1V,RTD2,RTD2V,IG,IGV,TC2,TC2V
2025/03/19 15:37:21,-273.1,0.000,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:37:33,-273.1,0.000,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:37:44,-273.1,0.000,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:37:55,-273.1,0.000,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:38:06,-273.1,0.000,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:38:17,-273.1,0.000,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:38:28,-273.1,0.000,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:38:39,-273.1,0.000,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:38:50,-273.1,0.000,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:39:01,-273.1,0.000,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:39:12,-273.1,0.000,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:39:23,-273.1,0.000,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:39:34,-273.1,0.000,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:39:45,-273.1,0.000,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:39:57,-273.1,0.000,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:40:08,-273.1,0.000,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:40:19,-273.1,0.000,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:40:30,-273.1,0.000,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:40:41,-273.1,0.000,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:40:52,-273.1,0.000,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:41:03,-273.1,0.000,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:41:14,-273.1,0.000,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:41:25,-273.1,0.000,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:41:38,-273.1,0.000,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:41:50,-273.1,0.000,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:42:01,-273.1,0.000,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:42:12,-273.1,0.000,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:42:24,-273.1,0.000,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:42:35,-273.1,0.000,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:42:46,-273.1,0.000,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:42:57,-273.1,0.000,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:43:08,-273.1,0.000,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:43:19,-273.1,0.000,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:43:31,-273.1,0.000,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:43:42,-273.1,0.000,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:43:53,-273.1,0.000,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:44:04,-273.1,0.000,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:44:15,-273.1,0.000,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:44:26,-230.4,0.332,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:44:37,-225.1,0.374,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:44:48,-232.6,0.315,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:44:59,-228.9,0.344,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:45:10,-227.6,0.354,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:45:21,-232.6,0.315,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:45:32,-227.4,0.356,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:45:43,-230.5,0.332,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:45:54,-230.3,0.333,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:46:05,-231.9,0.320,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:46:16,-227.6,0.354,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:46:27,-227.5,0.355,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:46:38,-226.5,0.362,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:46:49,-227.3,0.356,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:47:02,-226.6,0.362,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:47:13,-230.5,0.332,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:47:24,-227.6,0.354,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:47:35,-228.4,0.348,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:47:46,-230.4,0.332,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:47:57,-227.2,0.357,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:48:08,-227.7,0.353,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:48:19,-227.7,0.353,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:48:30,-227.4,0.356,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:48:41,-230.4,0.332,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:48:52,-228.8,0.345,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:49:03,-231.0,0.328,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:49:14,-227.6,0.354,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:49:25,-226.4,0.363,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:49:37,-225.2,0.373,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:49:48,-225.5,0.370,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:49:59,-243.0,0.234,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:50:10,-230.9,0.328,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:50:21,-225.2,0.372,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:50:32,-231.7,0.322,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:50:43,-227.7,0.353,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:50:54,-228.9,0.344,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:51:05,-226.7,0.361,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:51:16,-233.1,0.311,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:51:28,-225.2,0.373,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:51:39,-230.4,0.332,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:51:50,-225.3,0.372,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:52:02,-225.5,0.370,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:52:14,-226.7,0.361,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:52:25,-230.4,0.332,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:52:36,-228.8,0.344,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:52:48,-229.5,0.339,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:52:59,-230.5,0.331,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:53:10,-227.1,0.357,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:53:21,-227.1,0.358,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:53:32,-230.9,0.328,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:53:44,-226.3,0.364,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:53:56,-227.4,0.356,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:54:07,-230.0,0.335,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:54:18,-231.0,0.328,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:54:29,-231.8,0.321,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:54:40,-232.4,0.316,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:54:51,-227.5,0.355,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:55:02,-225.1,0.373,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:55:13,-232.4,0.317,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:55:24,-232.6,0.315,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:55:35,-227.5,0.355,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:55:46,-228.3,0.348,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:55:57,-225.1,0.373,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:56:08,-228.8,0.344,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:56:19,-232.2,0.318,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:56:31,-227.6,0.354,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:56:42,-226.3,0.364,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/19 15:56:53,-226.8,0.361,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
