Date,RTD1,RTD1V,RTD2,RTD2V,IG,IGV,TC2,TC2V
2025/03/20 14:17:39,-221.6,0.401,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/20 14:17:50,-221.4,0.402,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/20 14:18:01,-224.9,0.375,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/20 14:18:13,-219.6,0.416,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/20 14:18:24,-222.2,0.396,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/20 14:18:35,-225.9,0.367,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/20 14:18:47,-226.0,0.367,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/20 14:18:58,-221.9,0.398,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/20 14:19:10,-224.1,0.381,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/20 14:19:21,-223.9,0.383,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/20 14:19:32,-222.4,0.395,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/20 14:19:43,-225.5,0.370,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/20 14:19:55,-223.1,0.389,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/20 14:20:07,-223.3,0.387,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/20 14:20:18,-222.2,0.396,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/20 14:20:29,-219.5,0.417,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/20 14:20:40,-225.4,0.371,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/20 14:20:51,-218.2,0.427,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/20 14:21:02,-223.9,0.382,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/20 14:21:14,-220.8,0.407,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/20 14:21:27,-226.7,0.361,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/20 14:21:38,-223.6,0.385,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/20 14:21:49,-220.2,0.412,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/20 14:22:00,-220.9,0.406,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/20 14:22:11,-223.7,0.384,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/20 14:22:22,-224.4,0.379,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/20 14:22:33,-223.8,0.383,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/20 14:22:44,-222.8,0.391,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
2025/03/20 14:22:55,-226.7,0.361,210.3,3.325,4.96E-11,0.205,2.00E-01,3.300
