Date,PT100Mean,PT100STD,IGMean,IGSTD
2025/03/20 11:22:54,123.2,176.8,63.0,0.0
2025/03/20 11:23:05,112.6,162.0,63.0,0.0
2025/03/20 11:23:16,117.2,169.7,63.0,0.0
2025/03/20 11:23:27,119.1,171.8,63.0,0.0
2025/03/20 11:23:38,121.4,172.5,63.0,0.0
2025/03/20 11:23:49,105.6,147.8,63.0,0.0
2025/03/20 11:24:00,118.0,171.0,63.0,0.0
2025/03/20 11:24:11,109.6,151.4,63.0,0.0
2025/03/20 11:24:22,114.4,164.1,63.0,0.0
2025/03/20 11:24:33,123.1,176.5,63.0,0.0
2025/03/20 11:24:44,114.9,164.7,63.0,0.0
2025/03/20 11:24:55,108.2,153.6,63.0,0.0
2025/03/20 11:25:06,120.7,174.1,63.0,0.0
2025/03/20 11:25:17,111.5,157.9,63.0,0.0
2025/03/20 11:25:28,118.0,171.7,63.0,0.0
2025/03/20 11:25:39,105.6,147.6,63.0,0.0
2025/03/20 11:25:50,120.7,174.0,63.0,0.0
2025/03/20 11:26:01,125.9,185.2,63.0,0.0
2025/03/20 11:26:12,116.9,168.9,63.0,0.0
2025/03/20 11:26:23,117.6,170.2,63.0,0.0
2025/03/20 11:26:34,126.2,185.3,63.0,0.0
2025/03/20 11:26:45,119.1,171.5,63.0,0.0
2025/03/20 11:26:56,105.8,147.7,63.0,0.0
2025/03/20 11:27:07,114.2,164.2,63.0,0.0
2025/03/20 11:27:18,109.7,152.1,63.0,0.0
2025/03/20 11:27:29,114.2,163.7,63.0,0.0
2025/03/20 11:27:40,118.7,171.5,63.0,0.0
2025/03/20 11:27:51,113.9,164.3,63.0,0.0
2025/03/20 11:28:02,118.2,171.8,63.0,0.0
2025/03/20 11:28:13,118.5,172.4,63.0,0.0
2025/03/20 11:28:24,113.6,164.0,63.0,0.0
2025/03/20 11:28:35,123.2,176.6,63.0,0.0
2025/03/20 11:28:46,117.6,171.0,63.0,0.0
2025/03/20 11:28:57,122.6,176.3,63.0,0.0
2025/03/20 11:29:08,114.1,159.6,63.0,0.0
2025/03/20 11:29:19,105.5,147.9,63.0,0.0
2025/03/20 11:29:30,114.1,163.8,63.0,0.0
2025/03/20 11:29:41,126.0,185.5,63.0,0.0
2025/03/20 11:29:52,118.9,171.9,63.0,0.0
2025/03/20 11:30:03,118.7,171.3,63.0,0.0
2025/03/20 11:30:14,118.3,171.6,63.0,0.0
2025/03/20 11:30:25,117.0,168.8,63.0,0.0
2025/03/20 11:30:36,109.9,151.7,63.0,0.0
2025/03/20 11:30:47,105.7,147.8,63.0,0.0
2025/03/20 11:30:58,109.2,153.6,63.0,0.0
2025/03/20 11:31:09,113.8,164.4,63.0,0.0
2025/03/20 11:31:20,119.2,172.2,63.0,0.0
2025/03/20 11:31:31,114.6,165.6,63.0,0.0
2025/03/20 11:31:42,114.7,166.0,63.0,0.0
2025/03/20 11:31:53,123.5,176.8,63.0,0.0
2025/03/20 11:32:04,126.2,185.4,63.0,0.0
2025/03/20 11:32:15,118.9,171.6,63.0,0.0
2025/03/20 11:32:26,114.0,159.4,63.0,0.0
2025/03/20 11:32:37,121.1,172.6,63.0,0.0
2025/03/20 11:32:48,112.4,161.8,63.0,0.0
2025/03/20 11:32:58,118.7,171.8,63.0,0.0
2025/03/20 11:33:09,119.6,172.5,63.0,0.0
2025/03/20 11:33:20,118.8,171.5,63.0,0.0
2025/03/20 11:33:31,126.3,185.7,63.0,0.0
2025/03/20 11:33:42,123.4,176.7,63.0,0.0
2025/03/20 11:33:53,123.6,176.9,63.0,0.0
2025/03/20 11:34:06,111.4,153.8,63.0,0.0
2025/03/20 11:34:17,109.9,151.8,63.0,0.0
2025/03/20 11:34:28,109.5,153.5,63.0,0.0
2025/03/20 11:34:39,119.5,172.2,63.0,0.0
2025/03/20 11:34:50,117.2,170.3,63.0,0.0
2025/03/20 11:35:01,114.3,165.4,63.0,0.0
2025/03/20 11:35:12,121.4,172.8,63.0,0.0
2025/03/20 11:35:23,113.4,163.9,63.0,0.0
2025/03/20 11:35:34,113.7,164.8,63.0,0.0
2025/03/20 11:35:45,113.6,160.1,63.0,0.0
2025/03/20 11:35:56,105.6,147.8,63.0,0.0
2025/03/20 11:36:07,116.7,170.0,63.0,0.0
2025/03/20 11:36:18,113.7,159.1,63.0,0.0
2025/03/20 11:36:29,119.6,172.6,63.0,0.0
2025/03/20 11:36:40,122.0,173.9,63.0,0.0
2025/03/20 11:36:51,113.8,160.0,63.0,0.0
2025/03/20 11:37:02,109.4,153.6,63.0,0.0
2025/03/20 11:37:13,114.5,164.3,63.0,0.0
2025/03/20 11:37:24,107.1,147.9,63.0,0.0
2025/03/20 11:37:35,118.2,170.9,63.0,0.0
2025/03/20 11:37:46,118.2,170.7,63.0,0.0
2025/03/20 11:37:57,123.3,177.1,63.0,0.0
2025/03/20 11:38:08,113.4,163.3,63.0,0.0
2025/03/20 11:38:19,118.3,171.4,63.0,0.0
2025/03/20 11:38:30,114.0,164.1,63.0,0.0
2025/03/20 11:38:41,113.8,159.6,63.0,0.0
2025/03/20 11:38:52,119.2,171.7,63.0,0.0
2025/03/20 11:39:03,121.8,173.0,63.0,0.0
2025/03/20 11:39:14,118.8,172.3,63.0,0.0
2025/03/20 11:39:27,114.1,163.9,63.0,0.0
2025/03/20 11:39:38,113.3,159.0,63.0,0.0
2025/03/20 11:39:49,113.7,165.1,63.0,0.0
2025/03/20 11:40:00,114.4,164.4,63.0,0.0
2025/03/20 11:40:11,121.0,172.6,63.0,0.0
2025/03/20 11:40:22,119.2,173.4,63.0,0.0
2025/03/20 11:40:33,111.2,154.0,63.0,0.0
2025/03/20 11:40:44,126.6,186.6,63.0,0.0
2025/03/20 11:40:55,112.2,162.3,63.0,0.0
2025/03/20 11:41:06,111.3,154.2,63.0,0.0
2025/03/20 11:41:17,109.0,153.7,63.0,0.0
2025/03/20 11:41:28,117.4,171.1,63.0,0.0
2025/03/20 11:41:39,123.1,177.0,63.0,0.0
2025/03/20 11:41:50,114.3,164.4,63.0,0.0
2025/03/20 11:42:01,119.2,172.0,63.0,0.0
2025/03/20 11:42:12,114.1,164.4,63.0,0.0
2025/03/20 11:42:23,114.0,159.8,63.0,0.0
2025/03/20 11:42:34,120.8,172.7,63.0,0.0
2025/03/20 11:42:45,112.5,161.7,63.0,0.0
2025/03/20 11:42:56,124.0,179.0,63.0,0.0
2025/03/20 11:43:07,123.2,177.1,63.0,0.0
2025/03/20 11:43:18,118.0,170.4,63.0,0.0
2025/03/20 11:43:29,115.3,165.4,63.0,0.0
2025/03/20 11:43:40,122.7,176.7,63.0,0.0
2025/03/20 11:43:51,109.7,149.7,63.0,0.0
2025/03/20 11:44:02,113.8,164.3,63.0,0.0
2025/03/20 11:44:13,124.8,179.1,63.0,0.0
2025/03/20 11:44:24,121.8,173.9,63.0,0.0
2025/03/20 11:44:35,123.3,177.0,63.0,0.0
2025/03/20 11:44:46,114.7,164.8,63.0,0.0
2025/03/20 11:44:57,113.7,163.9,63.0,0.0
2025/03/20 11:45:08,113.5,164.2,63.0,0.0
2025/03/20 11:45:19,121.9,173.9,63.0,0.0
2025/03/20 11:45:30,106.7,148.0,63.0,0.0
2025/03/20 11:45:41,123.1,176.8,63.0,0.0
2025/03/20 11:45:52,115.4,165.9,63.0,0.0
2025/03/20 11:46:03,122.5,176.5,63.0,0.0
2025/03/20 11:46:14,119.5,172.4,63.0,0.0
2025/03/20 11:46:25,125.1,179.6,63.0,0.0
2025/03/20 11:46:36,111.1,154.0,63.0,0.0
2025/03/20 11:46:47,124.8,179.2,63.0,0.0
2025/03/20 11:46:58,114.1,160.9,63.0,0.0
2025/03/20 11:47:09,118.3,170.5,63.0,0.0
2025/03/20 11:47:20,113.5,163.4,63.0,0.0
2025/03/20 11:47:31,121.3,172.6,63.0,0.0
2025/03/20 11:47:42,121.5,172.7,63.0,0.0
2025/03/20 11:47:55,123.1,176.9,63.0,0.0
2025/03/20 11:48:06,120.8,172.5,63.0,0.0
2025/03/20 11:48:18,116.9,169.6,63.0,0.0
2025/03/20 11:48:29,113.5,164.1,63.0,0.0
2025/03/20 11:48:40,118.4,171.2,63.0,0.0
2025/03/20 11:48:51,118.3,171.4,63.0,0.0
2025/03/20 11:49:02,116.9,169.1,63.0,0.0
2025/03/20 11:49:13,116.9,169.2,63.0,0.0
2025/03/20 11:49:24,109.5,152.4,63.0,0.0
2025/03/20 11:49:35,114.7,164.7,63.0,0.0
2025/03/20 11:49:46,114.2,164.2,63.0,0.0
2025/03/20 11:49:57,112.4,162.2,63.0,0.0
2025/03/20 11:50:08,117.8,170.4,63.0,0.0
2025/03/20 11:50:19,119.4,172.2,63.0,0.0
2025/03/20 11:50:30,116.9,169.7,63.0,0.0
2025/03/20 11:50:41,109.1,153.7,63.0,0.0
2025/03/20 11:50:52,114.9,165.2,63.0,0.0
2025/03/20 11:51:03,118.7,171.8,63.0,0.0
2025/03/20 11:51:14,117.2,170.4,63.0,0.0
2025/03/20 11:51:25,123.7,178.1,63.0,0.0
2025/03/20 11:51:36,118.7,171.6,63.0,0.0
2025/03/20 11:51:47,119.2,173.2,63.0,0.0
2025/03/20 11:51:58,118.8,172.2,63.0,0.0
2025/03/20 11:52:09,113.9,159.9,63.0,0.0
2025/03/20 11:52:20,118.6,172.7,63.0,0.0
2025/03/20 11:52:31,117.0,169.3,63.0,0.0
2025/03/20 11:52:42,109.7,152.0,63.0,0.0
2025/03/20 11:52:53,119.1,172.1,63.0,0.0
2025/03/20 11:53:04,113.8,159.7,63.0,0.0
2025/03/20 11:53:15,109.7,152.1,63.0,0.0
2025/03/20 11:53:26,122.7,176.8,63.0,0.0
2025/03/20 11:53:37,113.8,165.1,63.0,0.0
2025/03/20 11:53:48,117.5,170.6,63.0,0.0
2025/03/20 11:53:59,113.8,165.1,63.0,0.0
2025/03/20 11:54:10,127.5,187.4,63.0,0.0
2025/03/20 11:54:21,121.0,172.7,63.0,0.0
2025/03/20 11:54:32,121.8,173.8,63.0,0.0
2025/03/20 11:54:43,121.2,172.8,63.0,0.0
2025/03/20 11:54:54,114.0,159.8,63.0,0.0
2025/03/20 11:55:05,119.2,172.1,63.0,0.0
2025/03/20 11:55:16,117.9,171.4,63.0,0.0
2025/03/20 11:55:27,123.1,177.0,63.0,0.0
2025/03/20 11:55:38,114.1,164.1,63.0,0.0
2025/03/20 11:55:49,117.2,170.1,63.0,0.0
2025/03/20 11:56:00,123.3,177.2,63.0,0.0
2025/03/20 11:56:11,123.2,177.1,63.0,0.0
2025/03/20 11:56:22,118.0,171.6,63.0,0.0
2025/03/20 11:56:33,112.4,162.1,63.0,0.0
2025/03/20 11:56:44,117.5,170.6,63.0,0.0
2025/03/20 11:56:55,109.0,153.4,63.0,0.0
2025/03/20 11:57:06,121.2,172.8,63.0,0.0
2025/03/20 11:57:17,112.4,161.9,63.0,0.0
2025/03/20 11:57:28,118.5,171.5,63.0,0.0
2025/03/20 11:57:39,113.9,163.8,63.0,0.0
2025/03/20 11:57:50,118.7,171.4,63.0,0.0
2025/03/20 11:58:01,119.2,172.6,63.0,0.0
2025/03/20 11:58:12,113.9,164.1,63.0,0.0
2025/03/20 11:58:23,117.5,170.4,63.0,0.0
2025/03/20 11:58:34,123.0,177.0,63.0,0.0
2025/03/20 11:58:45,118.6,171.5,63.0,0.0
2025/03/20 11:58:56,119.5,174.2,63.0,0.0
2025/03/20 11:59:07,119.4,174.2,63.0,0.0
2025/03/20 11:59:18,119.3,171.9,63.0,0.0
2025/03/20 11:59:29,107.1,148.1,63.0,0.0
2025/03/20 11:59:40,117.8,171.2,63.0,0.0
2025/03/20 11:59:51,123.5,177.0,63.0,0.0
2025/03/20 12:00:02,116.7,169.6,63.0,0.0
2025/03/20 12:00:13,121.2,173.0,63.0,0.0
2025/03/20 12:00:24,117.8,171.2,63.0,0.0
2025/03/20 12:00:35,105.4,147.8,63.0,0.0
2025/03/20 12:00:46,123.3,177.1,63.0,0.0
2025/03/20 12:00:57,119.4,172.7,63.0,0.0
2025/03/20 12:01:08,118.3,171.0,63.0,0.0
2025/03/20 12:01:19,114.1,164.0,63.0,0.0
2025/03/20 12:01:29,109.1,153.7,63.0,0.0
2025/03/20 12:01:41,114.2,164.1,63.0,0.0
2025/03/20 12:01:52,118.7,171.6,63.0,0.0
2025/03/20 12:02:03,117.3,169.9,63.0,0.0
2025/03/20 12:02:13,105.6,148.0,63.0,0.0
2025/03/20 12:02:24,123.4,177.8,63.0,0.0
2025/03/20 12:02:35,124.6,182.8,63.0,0.0
2025/03/20 12:02:46,125.6,185.1,63.0,0.0
2025/03/20 12:02:59,126.4,186.2,63.0,0.0
2025/03/20 12:03:10,111.6,154.7,63.0,0.0
2025/03/20 12:03:21,109.2,153.4,63.0,0.0
2025/03/20 12:03:32,125.0,179.3,63.0,0.0
2025/03/20 12:03:43,117.4,169.8,63.0,0.0
2025/03/20 12:03:54,117.4,170.0,63.0,0.0
2025/03/20 12:04:05,117.2,169.3,63.0,0.0
2025/03/20 12:04:16,114.6,165.0,63.0,0.0
2025/03/20 12:04:27,109.5,152.3,63.0,0.0
2025/03/20 12:04:38,119.6,172.4,63.0,0.0
2025/03/20 12:04:49,122.9,176.7,63.0,0.0
2025/03/20 12:05:00,118.3,171.5,63.0,0.0
2025/03/20 12:05:11,121.8,173.6,63.0,0.0
2025/03/20 12:05:22,123.0,176.6,63.0,0.0
2025/03/20 12:05:33,118.9,172.1,63.0,0.0
2025/03/20 12:05:44,121.4,173.0,63.0,0.0
2025/03/20 12:05:56,109.7,152.2,63.0,0.0
2025/03/20 12:06:07,120.5,174.1,63.0,0.0
2025/03/20 12:06:17,122.9,176.7,63.0,0.0
2025/03/20 12:06:29,112.3,162.3,63.0,0.0
2025/03/20 12:06:40,125.8,185.6,63.0,0.0
2025/03/20 12:06:51,113.3,159.4,63.0,0.0
2025/03/20 12:07:02,119.1,172.5,63.0,0.0
2025/03/20 12:07:13,111.1,154.2,63.0,0.0
2025/03/20 12:07:24,123.0,176.9,63.0,0.0
2025/03/20 12:07:35,118.1,172.0,63.0,0.0
2025/03/20 12:07:46,117.2,170.3,63.0,0.0
2025/03/20 12:07:57,109.5,152.4,63.0,0.0
2025/03/20 12:08:08,125.0,179.8,63.0,0.0
2025/03/20 12:08:19,117.4,171.0,63.0,0.0
2025/03/20 12:08:30,117.5,171.2,63.0,0.0
2025/03/20 12:08:41,118.7,171.7,63.0,0.0
2025/03/20 12:08:52,117.6,171.6,63.0,0.0
2025/03/20 12:09:03,113.9,164.5,63.0,0.0
2025/03/20 12:09:14,117.6,171.3,63.0,0.0
2025/03/20 12:09:25,119.3,173.7,63.0,0.0
2025/03/20 12:09:36,123.2,177.2,63.0,0.0
2025/03/20 12:09:47,113.9,164.1,63.0,0.0
2025/03/20 12:09:58,113.5,164.7,63.0,0.0
2025/03/20 12:10:08,114.3,164.9,63.0,0.0
2025/03/20 12:10:22,120.9,172.8,63.0,0.0
2025/03/20 12:10:33,114.0,159.9,63.0,0.0
2025/03/20 12:10:45,114.1,160.5,63.0,0.0
2025/03/20 12:10:55,118.6,171.0,63.0,0.0
2025/03/20 12:11:06,109.0,153.5,63.0,0.0
2025/03/20 12:11:17,117.5,170.6,63.0,0.0
2025/03/20 12:11:28,123.1,177.2,63.0,0.0
2025/03/20 12:11:39,107.1,148.3,63.0,0.0
2025/03/20 12:11:51,122.7,176.6,63.0,0.0
2025/03/20 12:12:02,118.1,172.0,63.0,0.0
2025/03/20 12:12:13,105.2,147.5,63.0,0.0
2025/03/20 12:12:24,113.9,164.1,63.0,0.0
2025/03/20 12:12:35,109.3,153.9,63.0,0.0
2025/03/20 12:12:46,117.1,169.9,63.0,0.0
2025/03/20 12:12:56,109.9,149.9,63.0,0.0
2025/03/20 12:13:07,114.2,164.4,63.0,0.0
2025/03/20 12:13:18,123.3,177.3,63.0,0.0
2025/03/20 12:13:32,113.8,160.3,63.0,0.0
2025/03/20 12:13:43,121.6,172.8,63.0,0.0
2025/03/20 12:13:54,110.8,157.9,63.0,0.0
2025/03/20 12:14:06,112.4,161.9,63.0,0.0
2025/03/20 12:14:19,109.9,149.5,63.0,0.0
2025/03/20 12:14:30,122.8,176.4,63.0,0.0
2025/03/20 12:14:41,123.4,177.0,63.0,0.0
2025/03/20 12:14:52,123.7,178.0,63.0,0.0
2025/03/20 12:15:03,119.1,171.7,63.0,0.0
2025/03/20 12:15:14,112.2,161.4,63.0,0.0
2025/03/20 12:15:25,107.3,148.1,63.0,0.0
2025/03/20 12:15:36,121.3,172.7,63.0,0.0
2025/03/20 12:15:47,122.9,176.6,63.0,0.0
2025/03/20 12:15:58,115.6,166.1,63.0,0.0
2025/03/20 12:16:09,118.6,171.5,63.0,0.0
2025/03/20 12:16:20,110.0,149.6,63.0,0.0
2025/03/20 12:16:31,117.9,171.7,63.0,0.0
2025/03/20 12:16:42,113.6,164.0,63.0,0.0
