Date,PT100Mean,PT100STD,IGMean,IGSTD
2025/03/19 11:59:23,1023.0,0.0,1023.0,0.0
2025/03/19 11:59:34,1023.0,0.0,1023.0,0.0
2025/03/19 11:59:45,1023.0,0.0,1023.0,0.0
2025/03/19 11:59:57,1023.0,0.0,1023.0,0.0
2025/03/19 12:00:08,1023.0,0.0,1023.0,0.0
2025/03/19 12:00:19,1023.0,0.0,1023.0,0.0
2025/03/19 12:00:30,1023.0,0.0,1023.0,0.0
2025/03/19 12:00:41,1023.0,0.0,1023.0,0.0
2025/03/19 12:00:52,1023.0,0.0,1023.0,0.0
2025/03/19 12:01:03,1023.0,0.0,1023.0,0.0
2025/03/19 12:01:14,1023.0,0.0,1023.0,0.0
2025/03/19 12:01:25,1023.0,0.0,1023.0,0.0
2025/03/19 12:01:36,1023.0,0.0,1023.0,0.0
2025/03/19 12:01:47,1023.0,0.0,1023.0,0.0
2025/03/19 12:01:58,1023.0,0.0,1023.0,0.0
2025/03/19 12:02:09,1023.0,0.0,1023.0,0.0
2025/03/19 12:02:20,1023.0,0.0,1023.0,0.0
2025/03/19 12:02:31,1023.0,0.0,1023.0,0.0
2025/03/19 12:02:42,1023.0,0.0,1023.0,0.0
2025/03/19 12:02:53,1023.0,0.0,1023.0,0.0
2025/03/19 12:03:04,1023.0,0.0,1023.0,0.0
2025/03/19 12:03:15,1023.0,0.0,1023.0,0.0
2025/03/19 12:03:26,1023.0,0.0,1023.0,0.0
2025/03/19 12:03:37,1023.0,0.0,1023.0,0.0
2025/03/19 12:03:48,1023.0,0.0,1023.0,0.0
2025/03/19 12:04:00,1023.0,0.0,1023.0,0.0
2025/03/19 12:04:11,1023.0,0.0,1023.0,0.0
2025/03/19 12:04:22,1023.0,0.0,1023.0,0.0
2025/03/19 12:04:33,1023.0,0.0,1023.0,0.0
2025/03/19 12:04:44,1023.0,0.0,1023.0,0.0
2025/03/19 12:04:55,1023.0,0.0,1023.0,0.0
Date,PT100Mean,PT100STD,IGMean,IGSTD
2025/03/19 12:05:00,1023.0,0.0,1023.0,0.0
2025/03/19 12:05:11,1023.0,0.0,1023.0,0.0
2025/03/19 12:05:22,1023.0,0.0,1023.0,0.0
Date,PT100Mean,PT100STD,IGMean,IGSTD
2025/03/19 12:09:21,1023.0,0.0,1023.0,0.0
2025/03/19 12:09:32,1023.0,0.0,1023.0,0.0
2025/03/19 12:09:43,1023.0,0.0,1023.0,0.0
2025/03/19 12:09:54,1023.0,0.0,1023.0,0.0
2025/03/19 12:10:05,1023.0,0.0,1023.0,0.0
2025/03/19 12:10:16,1023.0,0.0,1023.0,0.0
2025/03/19 12:10:27,1023.0,0.0,1023.0,0.0
2025/03/19 12:10:38,1023.0,0.0,1023.0,0.0
2025/03/19 12:10:49,1023.0,0.0,1023.0,0.0
2025/03/19 12:11:00,1023.0,0.0,1023.0,0.0
2025/03/19 12:11:11,1023.0,0.0,1023.0,0.0
2025/03/19 12:11:22,1023.0,0.0,1023.0,0.0
2025/03/19 12:11:33,1023.0,0.0,1023.0,0.0
2025/03/19 12:11:44,1023.0,0.0,1023.0,0.0
2025/03/19 12:11:55,1023.0,0.0,1023.0,0.0
2025/03/19 12:12:06,1023.0,0.0,1023.0,0.0
2025/03/19 12:12:17,1023.0,0.0,1023.0,0.0
2025/03/19 12:12:28,1023.0,0.0,1023.0,0.0
2025/03/19 12:12:39,1023.0,0.0,1023.0,0.0
2025/03/19 12:12:50,1023.0,0.0,1023.0,0.0
2025/03/19 12:13:01,1023.0,0.0,1023.0,0.0
2025/03/19 12:13:12,1023.0,0.0,1023.0,0.0
2025/03/19 12:13:24,1023.0,0.0,1023.0,0.0
2025/03/19 12:13:34,1023.0,0.0,1023.0,0.0
2025/03/19 12:13:45,1023.0,0.0,1023.0,0.0
2025/03/19 12:13:57,1023.0,0.0,1023.0,0.0
2025/03/19 12:14:08,1023.0,0.0,1023.0,0.0
2025/03/19 12:14:19,1023.0,0.0,1023.0,0.0
2025/03/19 12:14:30,1023.0,0.0,1023.0,0.0
2025/03/19 12:14:41,1023.0,0.0,1023.0,0.0
2025/03/19 12:14:52,1023.0,0.0,1023.0,0.0
2025/03/19 12:15:03,1023.0,0.0,1023.0,0.0
2025/03/19 12:15:14,1023.0,0.0,1023.0,0.0
2025/03/19 12:15:25,1023.0,0.0,1023.0,0.0
2025/03/19 12:15:36,1023.0,0.0,1023.0,0.0
2025/03/19 12:15:47,1023.0,0.0,1023.0,0.0
2025/03/19 12:15:58,1023.0,0.0,1023.0,0.0
2025/03/19 12:16:09,1023.0,0.0,1023.0,0.0
2025/03/19 12:16:20,1023.0,0.0,1023.0,0.0
2025/03/19 12:16:31,1023.0,0.0,1023.0,0.0
2025/03/19 12:16:42,1023.0,0.0,1023.0,0.0
2025/03/19 12:16:53,1023.0,0.0,1023.0,0.0
2025/03/19 12:17:04,1023.0,0.0,1023.0,0.0
2025/03/19 12:17:15,1023.0,0.0,1023.0,0.0
2025/03/19 12:17:26,1023.0,0.0,1023.0,0.0
2025/03/19 12:17:37,1023.0,0.0,1023.0,0.0
2025/03/19 12:17:48,1023.0,0.0,1023.0,0.0
2025/03/19 12:17:59,1023.0,0.0,1023.0,0.0
2025/03/19 12:18:10,1023.0,0.0,1023.0,0.0
2025/03/19 12:18:21,1023.0,0.0,1023.0,0.0
2025/03/19 12:18:32,1023.0,0.0,1023.0,0.0
2025/03/19 12:18:43,1023.0,0.0,1023.0,0.0
2025/03/19 12:18:54,1023.0,0.0,1023.0,0.0
2025/03/19 12:19:05,1023.0,0.0,1023.0,0.0
2025/03/19 12:19:16,1023.0,0.0,1023.0,0.0
2025/03/19 12:19:27,1023.0,0.0,1023.0,0.0
2025/03/19 12:19:38,1023.0,0.0,1023.0,0.0
2025/03/19 12:19:49,1023.0,0.0,1023.0,0.0
2025/03/19 12:20:00,1023.0,0.0,1023.0,0.0
2025/03/19 12:20:11,1023.0,0.0,1023.0,0.0
2025/03/19 12:20:22,1023.0,0.0,1023.0,0.0
2025/03/19 12:20:33,1023.0,0.0,1023.0,0.0
2025/03/19 12:20:44,1023.0,0.0,1023.0,0.0
2025/03/19 12:20:56,1023.0,0.0,1023.0,0.0
2025/03/19 12:21:07,1023.0,0.0,1023.0,0.0
2025/03/19 12:21:18,1023.0,0.0,1023.0,0.0
2025/03/19 12:21:29,1023.0,0.0,1023.0,0.0
2025/03/19 12:21:40,1023.0,0.0,1023.0,0.0
2025/03/19 12:21:51,1023.0,0.0,1023.0,0.0
2025/03/19 12:22:02,1023.0,0.0,1023.0,0.0
2025/03/19 12:22:13,1023.0,0.0,1023.0,0.0
2025/03/19 12:22:24,1023.0,0.0,1023.0,0.0
2025/03/19 12:22:35,1023.0,0.0,1023.0,0.0
2025/03/19 12:22:46,1023.0,0.0,1023.0,0.0
2025/03/19 12:22:57,1023.0,0.0,1023.0,0.0
2025/03/19 12:23:08,1023.0,0.0,1023.0,0.0
2025/03/19 12:23:19,1023.0,0.0,1023.0,0.0
2025/03/19 12:23:30,1023.0,0.0,1023.0,0.0
2025/03/19 12:23:41,1023.0,0.0,1023.0,0.0
2025/03/19 12:23:52,1023.0,0.0,1023.0,0.0
2025/03/19 12:24:03,1023.0,0.0,1023.0,0.0
2025/03/19 12:24:14,1023.0,0.0,1023.0,0.0
2025/03/19 12:24:25,1023.0,0.0,1023.0,0.0
2025/03/19 12:24:36,1023.0,0.0,1023.0,0.0
2025/03/19 12:24:47,1023.0,0.0,1023.0,0.0
2025/03/19 12:24:58,1023.0,0.0,1023.0,0.0
2025/03/19 12:25:09,1023.0,0.0,1023.0,0.0
2025/03/19 12:25:20,1023.0,0.0,1023.0,0.0
2025/03/19 12:25:31,1023.0,0.0,1023.0,0.0
2025/03/19 12:25:42,1023.0,0.0,1023.0,0.0
2025/03/19 12:25:53,1023.0,0.0,1023.0,0.0
2025/03/19 12:26:04,1023.0,0.0,1023.0,0.0
2025/03/19 12:26:15,1023.0,0.0,1023.0,0.0
2025/03/19 12:26:26,1023.0,0.0,1023.0,0.0
2025/03/19 12:26:37,1023.0,0.0,1023.0,0.0
2025/03/19 12:26:48,1023.0,0.0,1023.0,0.0
2025/03/19 12:26:59,1023.0,0.0,1023.0,0.0
2025/03/19 12:27:10,1023.0,0.0,1023.0,0.0
2025/03/19 12:27:23,1023.0,0.0,1023.0,0.0
2025/03/19 12:27:39,1023.0,0.0,1023.0,0.0
2025/03/19 12:27:50,1023.0,0.0,1023.0,0.0
2025/03/19 12:28:01,1023.0,0.0,1023.0,0.0
2025/03/19 12:28:12,1023.0,0.0,1023.0,0.0
2025/03/19 12:28:23,1023.0,0.0,1023.0,0.0
2025/03/19 12:28:34,1023.0,0.0,1023.0,0.0
2025/03/19 12:28:45,1023.0,0.0,1023.0,0.0
2025/03/19 12:28:56,1023.0,0.0,1023.0,0.0
2025/03/19 12:29:07,1023.0,0.0,1023.0,0.0
2025/03/19 12:29:18,1023.0,0.0,1023.0,0.0
2025/03/19 12:29:29,1023.0,0.0,1023.0,0.0
2025/03/19 12:29:40,1023.0,0.0,1023.0,0.0
2025/03/19 12:29:51,1023.0,0.0,1023.0,0.0
2025/03/19 12:30:02,1023.0,0.0,1023.0,0.0
2025/03/19 12:30:13,1023.0,0.0,1023.0,0.0
2025/03/19 12:30:24,1023.0,0.0,1023.0,0.0
2025/03/19 12:30:35,1023.0,0.0,1023.0,0.0
2025/03/19 12:30:46,1023.0,0.0,1023.0,0.0
2025/03/19 12:30:57,1023.0,0.0,1023.0,0.0
2025/03/19 12:31:09,1023.0,0.0,1023.0,0.0
2025/03/19 12:31:20,1023.0,0.0,1023.0,0.0
2025/03/19 12:31:31,1023.0,0.0,1023.0,0.0
2025/03/19 12:31:42,1023.0,0.0,1023.0,0.0
2025/03/19 12:31:53,1023.0,0.0,1023.0,0.0
2025/03/19 12:32:04,1023.0,0.0,1023.0,0.0
2025/03/19 12:32:15,1023.0,0.0,1023.0,0.0
2025/03/19 12:32:26,1023.0,0.0,1023.0,0.0
2025/03/19 12:32:37,1023.0,0.0,1023.0,0.0
2025/03/19 12:32:48,1023.0,0.0,1023.0,0.0
2025/03/19 12:32:59,1023.0,0.0,1023.0,0.0
2025/03/19 12:33:10,1023.0,0.0,1023.0,0.0
2025/03/19 12:33:21,1023.0,0.0,1023.0,0.0
