Date,PT100Mean,PT100STD,IGMean,IGSTD
2025/03/19 16:24:44,118.8,169.8,63.0,0.0
2025/03/19 16:24:55,114.4,167.5,63.0,0.0
2025/03/19 16:25:06,108.5,150.3,63.0,0.0
2025/03/19 16:25:17,115.8,166.5,63.0,0.0
2025/03/19 16:25:28,108.5,150.4,63.0,0.0
2025/03/19 16:25:39,108.5,150.4,63.0,0.0
2025/03/19 16:25:50,111.3,158.9,63.0,0.0
2025/03/19 16:26:01,110.8,158.0,63.0,0.0
2025/03/19 16:26:12,105.9,144.0,63.0,0.0
2025/03/19 16:26:23,107.3,148.4,63.0,0.0
2025/03/19 16:26:34,106.4,147.9,63.0,0.0
2025/03/19 16:26:45,105.7,143.8,63.0,0.0
2025/03/19 16:26:56,110.9,158.4,63.0,0.0
2025/03/19 16:27:08,105.0,142.0,63.0,0.0
2025/03/19 16:27:19,113.6,165.6,63.0,0.0
2025/03/19 16:27:30,101.7,134.2,63.0,0.0
2025/03/19 16:27:41,111.3,161.5,63.0,0.0
2025/03/19 16:27:52,115.1,162.2,63.0,0.0
2025/03/19 16:28:03,115.4,167.0,63.0,0.0
2025/03/19 16:28:14,106.3,149.1,63.0,0.0
2025/03/19 16:28:25,115.2,162.9,63.0,0.0
2025/03/19 16:28:36,118.4,170.7,63.0,0.0
2025/03/19 16:28:47,105.3,143.3,63.0,0.0
2025/03/19 16:28:58,116.0,164.9,63.0,0.0
2025/03/19 16:29:09,113.6,159.9,63.0,0.0
2025/03/19 16:29:20,104.9,141.9,63.0,0.0
2025/03/19 16:29:31,114.7,164.2,63.0,0.0
2025/03/19 16:29:42,117.1,172.3,63.0,0.0
2025/03/19 16:29:53,124.0,175.4,63.0,0.0
2025/03/19 16:30:04,106.9,146.4,63.0,0.0
2025/03/19 16:30:15,112.9,159.8,63.0,0.0
2025/03/19 16:30:26,106.2,146.8,63.0,0.0
2025/03/19 16:30:37,112.6,160.5,63.0,0.0
2025/03/19 16:30:48,112.9,160.8,63.0,0.0
2025/03/19 16:30:59,118.1,168.0,63.0,0.0
2025/03/19 16:31:10,121.0,174.0,63.0,0.0
2025/03/19 16:31:21,113.7,161.0,63.0,0.0
2025/03/19 16:31:32,107.0,146.4,63.0,0.0
2025/03/19 16:31:45,113.5,160.4,63.0,0.0
2025/03/19 16:31:56,107.5,148.1,63.0,0.0
2025/03/19 16:32:08,106.8,146.2,63.0,0.0
2025/03/19 16:32:19,106.1,148.4,63.0,0.0
2025/03/19 16:32:30,113.5,160.3,63.0,0.0
2025/03/19 16:32:42,108.1,150.4,63.0,0.0
2025/03/19 16:32:54,118.5,170.2,63.0,0.0
2025/03/19 16:33:06,119.8,174.0,63.0,0.0
2025/03/19 16:33:17,106.1,147.8,63.0,0.0
2025/03/19 16:33:28,104.6,141.3,63.0,0.0
2025/03/19 16:33:39,118.6,170.6,63.0,0.0
2025/03/19 16:33:50,106.2,148.3,63.0,0.0
2025/03/19 16:34:01,109.9,157.5,63.0,0.0
2025/03/19 16:34:12,106.3,147.8,63.0,0.0
2025/03/19 16:34:23,119.8,173.9,63.0,0.0
2025/03/19 16:34:34,105.7,143.9,63.0,0.0
2025/03/19 16:34:46,106.5,148.6,63.0,0.0
2025/03/19 16:34:57,108.0,150.4,63.0,0.0
2025/03/19 16:35:08,115.4,163.6,63.0,0.0
2025/03/19 16:35:19,105.6,144.2,63.0,0.0
2025/03/19 16:35:30,113.6,160.7,63.0,0.0
2025/03/19 16:35:41,108.3,150.7,63.0,0.0
2025/03/19 16:35:52,115.2,168.6,63.0,0.0
2025/03/19 16:36:03,105.0,141.5,63.0,0.0
2025/03/19 16:36:14,115.9,168.9,63.0,0.0
2025/03/19 16:36:25,101.5,133.8,63.0,0.0
2025/03/19 16:36:36,114.6,167.9,63.0,0.0
2025/03/19 16:36:48,105.7,144.2,63.0,0.0
2025/03/19 16:36:59,113.6,165.8,63.0,0.0
2025/03/19 16:37:10,115.9,165.4,63.0,0.0
2025/03/19 16:37:21,120.1,174.4,63.0,0.0
2025/03/19 16:37:32,111.7,162.7,63.0,0.0
2025/03/19 16:37:43,113.7,160.4,63.0,0.0
2025/03/19 16:37:55,101.6,134.1,63.0,0.0
2025/03/19 16:38:06,113.5,163.2,63.0,0.0
2025/03/19 16:38:17,112.9,162.5,63.0,0.0
2025/03/19 16:38:28,105.5,143.6,63.0,0.0
2025/03/19 16:38:39,106.6,147.9,63.0,0.0
2025/03/19 16:38:50,106.6,148.0,63.0,0.0
2025/03/19 16:39:01,109.9,157.8,63.0,0.0
2025/03/19 16:39:12,105.7,144.0,63.0,0.0
2025/03/19 16:39:23,113.5,159.8,63.0,0.0
2025/03/19 16:39:34,111.6,161.9,63.0,0.0
2025/03/19 16:39:45,108.4,150.8,63.0,0.0
2025/03/19 16:39:56,104.3,140.9,63.0,0.0
2025/03/19 16:40:08,118.8,170.1,63.0,0.0
2025/03/19 16:40:19,114.4,168.0,63.0,0.0
2025/03/19 16:40:30,111.0,159.2,63.0,0.0
2025/03/19 16:40:42,106.3,148.5,63.0,0.0
2025/03/19 16:40:53,115.6,169.0,63.0,0.0
2025/03/19 16:41:04,108.3,150.2,63.0,0.0
2025/03/19 16:41:17,102.1,136.7,63.0,0.0
2025/03/19 16:41:28,106.2,148.5,63.0,0.0
2025/03/19 16:41:39,108.4,150.7,63.0,0.0
2025/03/19 16:41:50,105.8,143.9,63.0,0.0
2025/03/19 16:42:01,105.7,144.2,63.0,0.0
2025/03/19 16:42:12,108.4,150.6,63.0,0.0
2025/03/19 16:42:23,110.4,158.9,63.0,0.0
2025/03/19 16:42:34,113.5,163.8,63.0,0.0
2025/03/19 16:42:45,106.3,148.0,63.0,0.0
2025/03/19 16:42:56,110.2,158.1,63.0,0.0
2025/03/19 16:43:07,106.1,147.8,63.0,0.0
2025/03/19 16:43:18,101.7,134.0,63.0,0.0
2025/03/19 16:43:29,111.8,162.4,63.0,0.0
2025/03/19 16:43:42,113.8,160.7,63.0,0.0
2025/03/19 16:43:53,116.4,166.2,63.0,0.0
2025/03/19 16:44:04,114.2,167.5,63.0,0.0
2025/03/19 16:44:15,105.4,143.0,63.0,0.0
2025/03/19 16:44:26,119.1,171.1,63.0,0.0
2025/03/19 16:44:37,102.2,137.9,63.0,0.0
2025/03/19 16:44:48,104.8,144.2,63.0,0.0
2025/03/19 16:44:59,104.6,141.7,63.0,0.0
2025/03/19 16:45:10,105.6,144.3,63.0,0.0
2025/03/19 16:45:21,116.3,170.1,63.0,0.0
2025/03/19 16:45:32,120.3,174.8,63.0,0.0
2025/03/19 16:45:43,110.7,159.3,63.0,0.0
2025/03/19 16:45:54,106.2,148.7,63.0,0.0
2025/03/19 16:46:05,111.7,160.4,63.0,0.0
2025/03/19 16:46:16,116.4,169.7,63.0,0.0
2025/03/19 16:46:27,116.0,165.4,63.0,0.0
2025/03/19 16:46:38,106.3,148.7,63.0,0.0
2025/03/19 16:46:49,116.5,170.1,63.0,0.0
2025/03/19 16:47:00,103.7,146.4,63.0,0.0
2025/03/19 16:47:11,109.5,158.6,63.0,0.0
2025/03/19 16:47:22,106.3,148.6,63.0,0.0
2025/03/19 16:47:33,107.3,148.7,63.0,0.0
2025/03/19 16:47:44,117.5,173.8,63.0,0.0
2025/03/19 16:47:56,105.4,143.0,63.0,0.0
2025/03/19 16:48:07,109.2,158.8,63.0,0.0
2025/03/19 16:48:19,107.1,148.6,63.0,0.0
2025/03/19 16:48:30,105.0,143.5,63.0,0.0
2025/03/19 16:48:41,109.1,158.7,63.0,0.0
2025/03/19 16:48:53,101.8,135.5,63.0,0.0
2025/03/19 16:49:04,109.0,158.4,63.0,0.0
2025/03/19 16:49:15,113.7,164.1,63.0,0.0
2025/03/19 16:49:26,120.3,174.7,63.0,0.0
2025/03/19 16:49:38,106.4,148.7,63.0,0.0
2025/03/19 16:49:49,105.4,143.5,63.0,0.0
2025/03/19 16:50:00,104.1,139.9,63.0,0.0
2025/03/19 16:50:11,102.7,142.0,63.0,0.0
2025/03/19 16:50:22,110.5,159.1,63.0,0.0
2025/03/19 16:50:33,109.0,158.4,63.0,0.0
2025/03/19 16:50:44,118.8,170.3,63.0,0.0
2025/03/19 16:50:55,114.2,167.7,63.0,0.0
2025/03/19 16:51:06,110.8,158.6,63.0,0.0
2025/03/19 16:51:17,104.4,147.1,63.0,0.0
2025/03/19 16:51:29,110.7,158.8,63.0,0.0
2025/03/19 16:51:39,101.4,133.5,63.0,0.0
2025/03/19 16:51:51,111.5,159.7,63.0,0.0
2025/03/19 16:52:04,110.5,158.2,63.0,0.0
2025/03/19 16:52:16,101.8,134.6,63.0,0.0
2025/03/19 16:52:27,113.9,166.6,63.0,0.0
2025/03/19 16:52:38,105.5,143.6,63.0,0.0
2025/03/19 16:52:49,106.2,148.0,63.0,0.0
2025/03/19 16:53:00,115.8,168.9,63.0,0.0
2025/03/19 16:53:11,108.6,157.6,63.0,0.0
2025/03/19 16:53:22,113.3,165.4,63.0,0.0
2025/03/19 16:53:34,108.4,150.4,63.0,0.0
2025/03/19 16:53:45,108.3,150.6,63.0,0.0
2025/03/19 16:53:56,113.8,166.5,63.0,0.0
2025/03/19 16:54:07,114.0,161.6,63.0,0.0
2025/03/19 16:54:18,106.1,147.7,63.0,0.0
2025/03/19 16:54:29,107.1,146.1,63.0,0.0
2025/03/19 16:54:40,106.2,147.4,63.0,0.0
2025/03/19 16:54:51,106.7,147.8,63.0,0.0
2025/03/19 16:55:02,108.4,150.5,63.0,0.0
2025/03/19 16:55:13,117.2,172.5,63.0,0.0
2025/03/19 16:55:24,111.0,160.4,63.0,0.0
2025/03/19 16:55:35,106.9,148.4,63.0,0.0
2025/03/19 16:55:46,114.7,169.0,63.0,0.0
2025/03/19 16:55:57,115.8,168.2,63.0,0.0
2025/03/19 16:56:08,105.8,144.3,63.0,0.0
2025/03/19 16:56:19,114.3,162.4,63.0,0.0
2025/03/19 16:56:30,110.9,158.7,63.0,0.0
2025/03/19 16:56:41,105.2,142.5,63.0,0.0
2025/03/19 16:56:52,108.1,150.5,63.0,0.0
2025/03/19 16:57:04,115.5,164.6,63.0,0.0
2025/03/19 16:57:16,112.4,160.2,63.0,0.0
2025/03/19 16:57:27,116.0,165.6,63.0,0.0
2025/03/19 16:57:38,104.9,142.9,63.0,0.0
2025/03/19 16:57:50,113.9,166.4,63.0,0.0
2025/03/19 16:58:03,113.3,165.5,63.0,0.0
2025/03/19 16:58:13,108.3,150.5,63.0,0.0
2025/03/19 16:58:24,107.1,146.2,63.0,0.0
2025/03/19 16:58:35,102.1,135.3,63.0,0.0
2025/03/19 16:58:46,114.7,169.0,63.0,0.0
2025/03/19 16:58:57,110.4,158.2,63.0,0.0
2025/03/19 16:59:09,116.0,165.3,63.0,0.0
2025/03/19 16:59:20,111.2,160.3,63.0,0.0
2025/03/19 16:59:31,105.2,142.8,63.0,0.0
2025/03/19 16:59:41,102.0,135.0,63.0,0.0
2025/03/19 16:59:52,106.9,148.4,63.0,0.0
2025/03/19 17:00:03,105.7,144.3,63.0,0.0
2025/03/19 17:00:14,108.2,150.6,63.0,0.0
2025/03/19 17:00:25,106.2,148.1,63.0,0.0
2025/03/19 17:00:36,105.3,143.7,63.0,0.0
2025/03/19 17:00:47,109.4,158.1,63.0,0.0
2025/03/19 17:00:58,114.6,169.0,63.0,0.0
2025/03/19 17:01:09,104.7,143.1,63.0,0.0
2025/03/19 17:01:20,108.9,158.0,63.0,0.0
2025/03/19 17:01:31,100.8,132.6,63.0,0.0
2025/03/19 17:01:42,116.1,165.4,63.0,0.0
2025/03/19 17:01:54,114.1,167.3,63.0,0.0
2025/03/19 17:02:05,110.7,158.2,63.0,0.0
2025/03/19 17:02:16,105.5,143.6,63.0,0.0
