Date,PT100Mean,PT100STD,IGMean,IGSTD
2025/03/19 10:31:27,1023.0,0.0,1023.0,0.0
2025/03/19 10:31:38,1023.0,0.0,1023.0,0.0
2025/03/19 10:31:50,1023.0,0.0,1023.0,0.0
Date,PT100Mean,PT100STD,IGMean,IGSTD
2025/03/19 10:45:38,1023.0,0.0,1023.0,0.0
2025/03/19 10:45:49,1023.0,0.0,1023.0,0.0
2025/03/19 10:46:00,1023.0,0.0,1023.0,0.0
2025/03/19 10:46:11,1023.0,0.0,1023.0,0.0
2025/03/19 10:46:22,1023.0,0.0,1023.0,0.0
2025/03/19 10:46:33,1023.0,0.0,1023.0,0.0
2025/03/19 10:46:44,1023.0,0.0,1023.0,0.0
2025/03/19 10:46:56,1023.0,0.0,1023.0,0.0
2025/03/19 10:47:07,1023.0,0.0,1023.0,0.0
2025/03/19 10:47:18,1023.0,0.0,1023.0,0.0
2025/03/19 10:47:29,1023.0,0.0,1023.0,0.0
2025/03/19 10:47:40,1023.0,0.0,1023.0,0.0
2025/03/19 10:47:51,1023.0,0.0,1023.0,0.0
2025/03/19 10:48:02,1023.0,0.0,1023.0,0.0
